W51 class-5 grid continuation: 951 uncleared markings remain after W50's 72; this run does indices 1..951
Q_5 : order 2^922, layers [ 5, 14, 49, 175, 679 ]  (16.500 s)
marking-independent commutator lists [L_{w-1},L_1] built in 0.000 s

  t   s | verdict    | L3 rank/target  L4 rank/target  L5 rank/target | coranks | defect in im | cert | secs
  3  12 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.600
  3  13 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.840
  3  14 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.810
  3  15 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.860
  3  16 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
  3  17 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.820
  3  18 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.810
  3  19 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.840
  3  20 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  3  21 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.830
  3  22 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.790
  3  23 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.810
  3  24 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
  3  25 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.820
  3  26 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.800
  3  27 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.820
  3  28 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  3  29 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.840
  3  30 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.810
  3  31 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.830
  4   9 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  4  10 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.510
  4  11 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.600
  4  12 | solvable   | [ L3:--/49, L4:169/175, L5:673/679 ] | [ -1, 6, 6 ] | true         | true | 0.450
